,airport,year,semester,traffic,period
178,tanger,2018,s1,505222.0,2018_s1
179,tanger,2018,s2,622351.0,2018_s2
180,tanger,2019,s1,597119.0,2019_s1
181,tanger,2019,s2,759545.0,2019_s2
182,tanger,2020,s1,0.0,2020_s1
183,tanger,2020,s2,490488.0,2020_s2
184,tanger,2021,s1,129575.0,2021_s1
185,tanger,2021,s2,739267.0,2021_s2
186,tanger,2022,s1,727474.0,2022_s1
187,tanger,2022,s2,704701.0,2022_s2
188,tanger,2023,s1,848315.0,2023_s1
189,tanger,2023,s2,1065383.0,2023_s2
190,tanger,2024,s1,1022889.0,2024_s1
191,tanger,2024,s2,,2024_s2
